"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Agentdojo: A dynamic environment to evaluate prompt injection attacks and defenses for llm agents","https://scispace.com/paper/agentdojo-a-dynamic-environment-to-evaluate-prompt-injection-w17lfaozlpf3","2024","Journal Article","","Mislav Balunovic
Luca Beurer-Kellner
Edoardo Debenedetti
Marc Fischer
Florian Tramèr
Jie Zhang","10.52202/079017-2636","https://proceedings.neurips.cc/paper_files/paper/2024/file/97091a5177d8dc64b1da8bf3e1f6fb54-Paper-Datasets_and_Benchmarks_Track.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses AgentDojo to evaluate prompt injection attacks on stateful agents, details concrete attack vectors, proposes a combined LLM‑based defense, provides systematic benchmarks, and frames work within AI agent security.",""
"Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents","https://scispace.com/paper/adaptive-attacks-break-defenses-against-indirect-prompt-6gukk84q6stt","2025","Journal Article","arXiv.org","Qiusi Zhan
Richard Fang
Henil Shalin Panchal
Daniel Kang","10.48550/arxiv.2503.00061","https://scispace.compdf/adaptive-attacks-break-defenses-against-indirect-prompt-6gukk84q6stt.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses AgentDojo to evaluate adaptive indirect prompt injection attacks on multi‑turn LLM agents, proposes LoRA‑based defensive finetuning, and situates findings within AI agent security.",""
"BrowseSafe: Understanding and Preventing Prompt Injection Within AI Browser Agents","https://scispace.com/paper/browsesafe-understanding-and-preventing-prompt-injection-htjrcoclsubh","2025","Journal Article","arXiv.org","Kaiyuan Zhang
Mark Tenenholtz
Kyle Polley
Jerry Ma
Denis Yarats
Ninghui Li","10.48550/arxiv.2511.20597","https://export.arxiv.org/pdf/2511.20597v1.pdf","- **Relevance Score:** 88/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses realistic HTML payloads to demonstrate prompt injection on web‑browser agents, details concrete attack vectors, proposes multi‑layered defenses, provides a systematic benchmark, and frames findings within AI agent security.","The integration of artificial intelligence (AI) agents into web browsers introduces security challenges that go beyond traditional web application threat models. Prior work has identified prompt injection as a new attack vector for web agents, yet the resulting impact within real-world environments remains insufficiently understood. In this work, we examine the landscape of prompt injection attacks and synthesize a benchmark of attacks embedded in realistic HTML payloads. Our benchmark goes beyond prior work by emphasizing injections that can influence real-world actions rather than mere text outputs, and by presenting attack payloads with complexity and distractor frequency similar to what real-world agents encounter. We leverage this benchmark to conduct a comprehensive empirical evaluation of existing defenses, assessing their effectiveness across a suite of frontier AI models. We propose a multi-layered defense strategy comprising both architectural and model-based defenses to protect against evolving prompt injection attacks. Our work offers a blueprint for designing practical, secure web agents through a defense-in-depth approach."
"Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems","https://scispace.com/paper/prompt-infection-llm-to-llm-prompt-injection-within-multi-5rcjyv2nbaup","2024","Journal Article","","Dong-Hyun Lee
Mansi Tiwari","10.48550/arxiv.2410.07283","https://export.arxiv.org/pdf/2410.07283v1.pdf","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses multi-agent LLMs to demonstrate self‑replicating prompt infection, provides concrete attack scenarios, proposes LLM Tagging defense, includes extensive experimental metrics, and frames work within AI agent security.","As Large Language Models (LLMs) grow increasingly powerful, multi-agent systems are becoming more prevalent in modern AI applications. Most safety research, however, has focused on vulnerabilities in single-agent LLMs. These include prompt injection attacks, where malicious prompts embedded in external content trick the LLM into executing unintended or harmful actions, compromising the victim's application. In this paper, we reveal a more dangerous vector: LLM-to-LLM prompt injection within multi-agent systems. We introduce Prompt Infection, a novel attack where malicious prompts self-replicate across interconnected agents, behaving much like a computer virus. This attack poses severe threats, including data theft, scams, misinformation, and system-wide disruption, all while propagating silently through the system. Our extensive experiments demonstrate that multi-agent systems are highly susceptible, even when agents do not publicly share all communications. To address this, we propose LLM Tagging, a defense mechanism that, when combined with existing safeguards, significantly mitigates infection spread. This work underscores the urgent need for advanced security measures as multi-agent LLM systems become more widely adopted. "
"CommandSans: Securing AI Agents with Surgical Precision Prompt Sanitization","https://scispace.com/paper/commandsans-securing-ai-agents-with-surgical-precision-bgcmgtshns17","2025","Journal Article","","Das, Debeshee
Beurer-Kellner, Luca
Fischer, Marc
Baader, Maximilian","10.48550/arxiv.2510.08829","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses token-level sanitization to strip instructions from tool outputs, directly mitigating prompt injection in LLM agents; details diverse injection attacks; evaluates defenses on AgentDojo, BIPIA, InjecAgent, ASB, SEP with significant ASR reduction; frames work within AI agent security landscape.","The increasing adoption of LLM agents with access to numerous tools and sensitive data significantly widens the attack surface for indirect prompt injections. Due to the context-dependent nature of attacks, however, current defenses are often ill-calibrated as they cannot reliably differentiate malicious and benign instructions, leading to high false positive rates that prevent their real-world adoption. To address this, we present a novel approach inspired by the fundamental principle of computer security: data should not contain executable instructions. Instead of sample-level classification, we propose a token-level sanitization process, which surgically removes any instructions directed at AI systems from tool outputs, capturing malicious instructions as a byproduct. In contrast to existing safety classifiers, this approach is non-blocking, does not require calibration, and is agnostic to the context of tool outputs. Further, we can train such token-level predictors with readily available instruction-tuning data only, and don't have to rely on unrealistic prompt injection examples from challenges or of other synthetic origin. In our experiments, we find that this approach generalizes well across a wide range of attacks and benchmarks like AgentDojo, BIPIA, InjecAgent, ASB and SEP, achieving a 7-10x reduction of attack success rate (ASR) (34% to 3% on AgentDojo), without impairing agent utility in both benign and malicious settings. "
"Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents","https://scispace.com/paper/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a","2024","Journal Article","arXiv.org","Hanrong Zhang
Jingyuan Huang
Kai Mei
Yifei Yao
Zhenting Wang
Chenlu Zhan
Hongwei Wang
Yongfeng Zhang","10.48550/arxiv.2410.02644","https://scispace.compdf/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a.pdf","- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses formal threat models and concrete prompt injection attacks on memory‑bearing agents; evaluates sandwich, delimiter, and other defenses; provides a systematic benchmark with success rates; situates work within AI agent security.","Although LLM-based agents, powered by Large Language Models (LLMs), can use external tools and memory mechanisms to solve complex real-world tasks, they may also introduce critical security vulnerabilities. However, the existing literature does not comprehensively evaluate attacks and defenses against LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a comprehensive framework designed to formalize, benchmark, and evaluate the attacks and defenses of LLM-based agents, including 10 scenarios (e.g., e-commerce, autonomous driving, finance), 10 agents targeting the scenarios, over 400 tools, 23 different types of attack/defense methods, and 8 evaluation metrics. Based on ASB, we benchmark 10 prompt injection attacks, a memory poisoning attack, a novel Plan-of-Thought backdoor attack, a mixed attack, and 10 corresponding defenses across 13 LLM backbones with nearly 90,000 testing cases in total. Our benchmark results reveal critical vulnerabilities in different stages of agent operation, including system prompt, user prompt handling, tool usage, and memory retrieval, with the highest average attack success rate of 84.30\%, but limited effectiveness shown in current defenses, unveiling important works to be done in terms of agent security for the community. Our code can be found at https://github.com/agiresearch/ASB."
"Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinforcing Injections","https://scispace.com/paper/http://arxiv.org/abs/2602.15654v2","2026","Preprint","","Xianglin Yang
Yufei He
Shuo Ji
Bryan Hooi
Jin Song Dong","","https://arxiv.org/pdf/2602.15654v2","- **Relevance Score:** 81/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Introduces persistent prompt injection in self‑evolving agents, details a two‑phase zombie attack, evaluates it across memory designs, and discusses broader security implications, with limited defense proposals.","Self-evolving LLM agents update their internal state across sessions, often by writing and reusing long-term memory. This design improves performance on long-horizon tasks but creates a security risk: untrusted external content observed during a benign session can be stored as memory and later treated as instruction. We study this risk and formalize a persistent attack we call a Zombie Agent, where an attacker covertly implants a payload that survives across sessions, effectively turning the agent into a puppet of the attacker.
  We present a black-box attack framework that uses only indirect exposure through attacker-controlled web content. The attack has two phases. During infection, the agent reads a poisoned source while completing a benign task and writes the payload into long-term memory through its normal update process. During trigger, the payload is retrieved or carried forward and causes unauthorized tool behavior. We design mechanism-specific persistence strategies for common memory implementations, including sliding-window and retrieval-augmented memory, to resist truncation and relevance filtering. We evaluate the attack on representative agent setups and tasks, measuring both persistence over time and the ability to induce unauthorized actions while preserving benign task quality. Our results show that memory evolution can convert one-time indirect injection into persistent compromise, which suggests that defenses focused only on per-session prompt filtering are not sufficient for self-evolving agents."
"Prompt Flow Integrity to Prevent Privilege Escalation in LLM Agents","https://scispace.com/paper/prompt-flow-integrity-to-prevent-privilege-escalation-in-llm-e6udoq7k2koi","2025","Journal Article","arXiv.org","Juhee Kim
Woohyuk Choi
Byoungyoung Lee","10.48550/arxiv.2503.15547","https://scispace.compdf/prompt-flow-integrity-to-prevent-privilege-escalation-in-llm-e6udoq7k2koi.pdf","- **Relevance Score:** 81/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Prompt Flow Integrity to isolate trusted/untrusted data in LLM agents, describes data injection attacks, proposes a concrete defense, situates work in AI agent security, but offers limited quantitative evaluation.",""
"MELON: Indirect Prompt Injection Defense via Masked Re-execution and Tool Comparison","https://scispace.com/paper/melon-indirect-prompt-injection-defense-via-masked-re-mvlay71yeqxa","2025","Journal Article","arXiv.org","Kaijie Zhu
Xianjun Yang
Jindong Wang
Wenbo Guo
William Yang Wang","10.48550/arxiv.2502.05174","https://scispace.compdf/melon-indirect-prompt-injection-defense-via-masked-re-mvlay71yeqxa.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Introduces MELON defense for indirect prompt injection in stateful agents, details multiple attack patterns, evaluates on AgentDojo benchmark, and frames work within AI agent security.",""
"Unveiling Security Vulnerabilities in Agentic AI: Threat Modeling, Exploits, and Mitigation Strategies","https://scispace.com/paper/unveiling-security-vulnerabilities-in-agentic-ai-threat-3zmccp364sjg","2025","Journal Article","International Journal of Advanced Research in Electrical, Electronics and Instrumentation Energy","","10.15662/ijareeie.2025.1408013","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides extensive prompt‑injection attacks on memory‑bearing agents, concrete exploit scenarios, mitigation proposals, and quantitative success‑rate experiments within the AI agent security domain.","Agents that can reason and make choices on their own without human intervention, use instruments, and plan multiple steps of action have recently spread at an alarming pace, carrying along with them not only new capabilities but also security risks. Security vulnerabilities in the design of Agentic AI systems are explored in this paper. These include vulnerabilities that can be exploited by prompt injection, tool abuse, context hijacking and selfdriving policy manipulation. Threat modeling, red teaming, and simulative penetration testing were all parts of the hybrid approach. The simulated AI settings were created to be self-sufficient and capable of carrying out tasks like processing files, making API calls or decision trees. The paper went on to propose the concept of adversarial objects as a method of probing for vulnerabilities in the aspects of data leakage, illegal command execution, and aim mismatch. The results show that external API abuse was possible in 64% of the cases and indirect prompt injection was possible in 72% of the considered Agentic AI runs. Also, current safety guardrails failed as agents went down wrong execution paths in 58% of cases despite early detection of abnormal behavior. The results indicate that adaptive security policies, effective memory management and safe agent orchestration mechanisms are equally important at the agent planning level rather than just at the interface level. After that, the research classifies the major weaknesses and provides ways to correct the Agentic AI Tombs. According to the report, adversarial stress testing should be a proactive step during the deployment of agentic AI, and ongoing adversarial stress testing is needed to ensure a secure pipeline. "
