"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"AQUA-LLM: Evaluating Accuracy, Quantization, and Adversarial Robustness Trade-offs in LLMs for Cybersecurity Question Answering","https://scispace.com/paper/aqua-llm-evaluating-accuracy-quantization-and-adversarial-u4yhdo3wqece","2025","Journal Article","","Gungor, Onat
Rosing, Tajana","10.48550/arxiv.2509.13514","https://scispace.compdf/aqua-llm-evaluating-accuracy-quantization-and-adversarial-u4yhdo3wqece.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses quantization-aware fine‑tuning to benchmark small LLMs, measuring accuracy, efficiency, and robustness against adversarial attacks in cybersecurity QA.","Large Language Models (LLMs) have recently demonstrated strong potential for cybersecurity question answering (QA), supporting decision-making in real-time threat detection and response workflows. However, their substantial computational demands pose significant challenges for deployment on resource-constrained edge devices. Quantization, a widely adopted model compression technique, can alleviate these constraints. Nevertheless, quantization may degrade model accuracy and increase susceptibility to adversarial attacks. Fine-tuning offers a potential means to mitigate these limitations, but its effectiveness when combined with quantization remains insufficiently explored. Hence, it is essential to understand the trade-offs among accuracy, efficiency, and robustness. We propose AQUA-LLM, an evaluation framework designed to benchmark several state-of-the-art small LLMs under four distinct configurations: base, quantized-only, fine-tuned, and fine-tuned combined with quantization, specifically for cybersecurity QA. Our results demonstrate that quantization alone yields the lowest accuracy and robustness despite improving efficiency. In contrast, combining quantization with fine-tuning enhances both LLM robustness and predictive performance, achieving an optimal balance of accuracy, robustness, and efficiency. These findings highlight the critical need for quantization-aware, robustness-preserving fine-tuning methodologies to enable the robust and efficient deployment of LLMs for cybersecurity QA. "
"The Impact of Quantization on the Robustness of Transformer-based Text Classifiers","https://scispace.com/paper/the-impact-of-quantization-on-the-robustness-of-transformer-5fa91qc7go","2024","Journal Article","arXiv.org","Seyed Parsa Neshaei
Yasaman Boreshban
Gholamreza Ghassem-Sani
Seyed Abolghasem Mirroshandel","10.48550/arxiv.2403.05365","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses quantization on BERT/DistilBERT (<1B params) and shows 18%+ robustness gains against TextFooler, PWWS, PSO, directly addressing security impact on small LLMs.","Transformer-based models have made remarkable advancements in various NLP areas. Nevertheless, these models often exhibit vulnerabilities when confronted with adversarial attacks. In this paper, we explore the effect of quantization on the robustness of Transformer-based models. Quantization usually involves mapping a high-precision real number to a lower-precision value, aiming at reducing the size of the model at hand. To the best of our knowledge, this work is the first application of quantization on the robustness of NLP models. In our experiments, we evaluate the impact of quantization on BERT and DistilBERT models in text classification using SST-2, Emotion, and MR datasets. We also evaluate the performance of these models against TextFooler, PWWS, and PSO adversarial attacks. Our findings show that quantization significantly improves (by an average of 18.68%) the adversarial accuracy of the models. Furthermore, we compare the effect of quantization versus that of the adversarial training approach on robustness. Our experiments indicate that quantization increases the robustness of the model by 18.80% on average compared to adversarial training without imposing any extra computational overhead during training. Therefore, our results highlight the effectiveness of quantization in improving the robustness of NLP models."
"EAGER: Edge-Aligned LLM Defense for Robust, Efficient, and Accurate Cybersecurity Question Answering","https://scispace.com/paper/eager-edge-aligned-llm-defense-for-robust-efficient-and-5tt5lo3j4drp","2025","Journal Article","arXiv.org","Onat Gungor
Roshan Sood
Jiasheng Zhou
Tajana Simunic","10.48550/arxiv.2511.19523","https://export.arxiv.org/pdf/2511.19523v1.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses QLoRA quantization and DPO to boost edge LLM security, reports 7.3× lower attack success and 55% accuracy gain; model size not explicitly sub‑billion.","Large Language Models (LLMs) are highly effective for cybersecurity question answering (QA) but are difficult to deploy on edge devices due to their size. Quantization reduces memory and compute requirements but often degrades accuracy and increases vulnerability to adversarial attacks. We present EAGER, an edge-aligned defense framework that integrates parameter-efficient quantization with domain-specific preference alignment to jointly optimize efficiency, robustness, and accuracy. Unlike prior methods that address these aspects separately, EAGER leverages Quantized Low-Rank Adaptation (QLoRA) for low-cost fine-tuning and Direct Preference Optimization (DPO) on a self-constructed cybersecurity preference dataset, eliminating the need for human labels. Experiments show that EAGER reduces adversarial attack success rates by up to 7.3x and improves QA accuracy by up to 55% over state-of-the-art defenses, while achieving the lowest response latency on a Jetson Orin, demonstrating its practical edge deployment."
"Behind the Tip of Efficiency: Uncovering the Submerged Threats of Jailbreak Attacks in Small Language Models","https://scispace.com/paper/behind-the-tip-of-efficiency-uncovering-the-submerged-08aub28w5cve","2025","Journal Article","arXiv.org","Sibo Yi
Tianshuo Cong
Xinlei He
Qi Li
Jiaxing Song","10.48550/arxiv.2502.19883","https://scispace.compdf/behind-the-tip-of-efficiency-uncovering-the-submerged-08aub28w5cve.pdf","- **Relevance Score:** 72/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses quantization (AWQ, GPTQ‑Int4/Int8) on 1.5‑B‑parameter models to assess jailbreak robustness, showing quantization can maintain or improve security; focuses on sub‑2B models, not strictly <1B.","Small language models (SLMs) have become increasingly prominent in the deployment on edge devices due to their high efficiency and low computational cost. While researchers continue to advance the capabilities of SLMs through innovative training strategies and model compression techniques, the security risks of SLMs have received considerably less attention compared to large language models (LLMs).To fill this gap, we provide a comprehensive empirical study to evaluate the security performance of 13 state-of-the-art SLMs under various jailbreak attacks. Our experiments demonstrate that most SLMs are quite susceptible to existing jailbreak attacks, while some of them are even vulnerable to direct harmful prompts.To address the safety concerns, we evaluate several representative defense methods and demonstrate their effectiveness in enhancing the security of SLMs. We further analyze the potential security degradation caused by different SLM techniques including architecture compression, quantization, knowledge distillation, and so on. We expect that our research can highlight the security challenges of SLMs and provide valuable insights to future work in developing more robust and secure SLMs."
"Has the Two-Decade-Old Prophecy Come True? Artificial Bad Intelligence Triggered by Merely a Single-Bit Flip in Large Language Models","https://scispace.com/paper/has-the-two-decade-old-prophecy-come-true-artificial-bad-tzzn9mjtmz7h","2025","Journal Article","","Yan Yu
Lu Siqi
Gao Yang
Li Zhaoxuan
Zhao Ziming
Yuan Qingjun
Wang Yongjuan","10.48550/arxiv.2510.00490","https://scispace.compdf/has-the-two-decade-old-prophecy-come-true-artificial-bad-tzzn9mjtmz7h.pdf","- **Relevance Score:** 71/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses bit‑flip attacks on .gguf‑quantized models to expose security flaws; demonstrates robustness loss and adversarial susceptibility in sub‑billion‑parameter LLMs, though robustness testing is limited to specific attacks.","Recently, Bit-Flip Attack (BFA) has garnered widespread attention for its ability to compromise software system integrity remotely through hardware fault injection. With the widespread distillation and deployment of large language models (LLMs) into single file .gguf formats, their weight spaces have become exposed to an unprecedented hardware attack surface. This paper is the first to systematically discover and validate the existence of single-bit vulnerabilities in LLM weight files: in mainstream open-source models (e.g., DeepSeek and QWEN) using .gguf quantized formats, flipping just single bit can induce three types of targeted semantic level failures Artificial Flawed Intelligence (outputting factual errors), Artificial Weak Intelligence (degradation of logical reasoning capability), and Artificial Bad Intelligence (generating harmful content). By building an information theoretic weight sensitivity entropy model and a probabilistic heuristic scanning framework called BitSifter, we achieved efficient localization of critical vulnerable bits in models with hundreds of millions of parameters. Experiments show that vulnerabilities are significantly concentrated in the tensor data region, particularly in areas related to the attention mechanism and output layers, which are the most sensitive. A negative correlation was observed between model size and robustness, with smaller models being more susceptible to attacks. Furthermore, a remote BFA chain was designed, enabling semantic-level attacks in real-world environments: At an attack frequency of 464.3 times per second, a single bit can be flipped with 100% success in as little as 31.7 seconds. This causes the accuracy of LLM to plummet from 73.5% to 0%, without requiring high-cost equipment or complex prompt engineering. "
"Smaller= weaker? benchmarking robustness of quantized llms in code generation","https://scispace.com/paper/smaller-weaker-benchmarking-robustness-of-quantized-llms-in-q04670afe0ay","","Journal Article","arXiv.org","Sen Fang
Antonio Mastropaolo
Bowen Xu","10.48550/arxiv.2506.22776","https://arxiv.org/pdf/2506.22776?","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses extensive robustness benchmarks on quantized LLMs, showing improved security traits; provides thorough robustness metrics; mentions adversarial handling but lacks deep attack analysis; does not restrict to sub‑1B models.",""
"Exploiting LLM Quantization","https://scispace.com/paper/exploiting-llm-quantization-51ix7asccg","2024","Preprint","","Kazuki Egashira
Mark Vero
Robin Staab
Jingxuan He
Martin Vechev","10.48550/arxiv.2405.18137","https://scispace.compdf/exploiting-llm-quantization-51ix7asccg.pdf","- **Relevance Score:** 68/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses quantization attacks on 1‑7B models to show security trade‑offs; evaluates utility and attack success, but robustness tests are limited and model size range exceeds strictly sub‑1B.","Quantization leverages lower-precision weights to reduce the memory usage of large language models (LLMs) and is a key technique for enabling their deployment on commodity hardware. While LLM quantization's impact on utility has been extensively explored, this work for the first time studies its adverse effects from a security perspective. We reveal that widely used quantization methods can be exploited to produce a harmful quantized LLM, even though the full-precision counterpart appears benign, potentially tricking users into deploying the malicious quantized model. We demonstrate this threat using a three-staged attack framework: (i) first, we obtain a malicious LLM through fine-tuning on an adversarial task; (ii) next, we quantize the malicious model and calculate constraints that characterize all full-precision models that map to the same quantized model; (iii) finally, using projected gradient descent, we tune out the poisoned behavior from the full-precision model while ensuring that its weights satisfy the constraints computed in step (ii). This procedure results in an LLM that exhibits benign behavior in full precision but when quantized, it follows the adversarial behavior injected in step (i). We experimentally demonstrate the feasibility and severity of such an attack across three diverse scenarios: vulnerable code generation, content injection, and over-refusal attack. In practice, the adversary could host the resulting full-precision model on an LLM community hub such as Hugging Face, exposing millions of users to the threat of deploying its malicious quantized version on their devices. "
"HarmLevelBench: Evaluating Harm-Level Compliance and the Impact of
  Quantization on Model Alignment","https://scispace.com/paper/harmlevelbench-evaluating-harm-level-compliance-and-the-hwo6u5i3t91f","2024","Journal Article","","Yannis Belkhiter
Giulio Zizzo
Sergio Maffeis","10.48550/arxiv.2411.06835","https://scispace.compdf/harmlevelbench-evaluating-harm-level-compliance-and-the-hwo6u5i3t91f.pdf","- **Relevance Score:** 54/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses quantization to study alignment and safety, includes robustness tests and jailbreaking attacks, but does not limit experiments to sub‑billion‑parameter models.","With the introduction of the transformers architecture, LLMs have revolutionized the NLP field with ever more powerful models. Nevertheless, their development came up with several challenges. The exponential growth in computational power and reasoning capabilities of language models has heightened concerns about their security. As models become more powerful, ensuring their safety has become a crucial focus in research. This paper aims to address gaps in the current literature on jailbreaking techniques and the evaluation of LLM vulnerabilities. Our contributions include the creation of a novel dataset designed to assess the harmfulness of model outputs across multiple harm levels, as well as a focus on fine-grained harm-level analysis. Using this framework, we provide a comprehensive benchmark of state-of-the-art jailbreaking attacks, specifically targeting the Vicuna 13B v1.5 model. Additionally, we examine how quantization techniques, such as AWQ and GPTQ, influence the alignment and robustness of models, revealing trade-offs between enhanced robustness with regards to transfer attacks and potential increases in vulnerability on direct ones. This study aims to demonstrate the influence of harmful input queries on the complexity of jailbreaking techniques, as well as to deepen our understanding of LLM vulnerabilities and improve methods for assessing model robustness when confronted with harmful content, particularly in the context of compression strategies. "
"Fine-tuning, quantization, and llms: Navigating unintended outcomes","https://scispace.com/paper/sfEmjjHmBikJ","","","","D Kumar
A Kumar
S Agarwal
P Harshangi","","https://arxiv.org/pdf/2404.04392","- **Relevance Score:** 54/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Analyzes quantization effects on LLM security and reports robustness and attack success variations, but does not specify models under 1 B parameters.",""
"Model Compression vs. Adversarial Robustness: An Empirical Study on Language Models for Code","https://scispace.com/paper/http://arxiv.org/abs/2508.03949v2","2025","Preprint","","Md. Abdul Awal
Mrigank Rochan
Chanchal K. Roy","","https://arxiv.org/pdf/2508.03949v2","- **Relevance Score:** 54/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Evaluates how pruning, quantization, and distillation affect adversarial robustness of code models; includes extensive robustness testing but targets general code LMs, not specifically sub‑1B models.","Transformer-based language models for code have shown remarkable performance in various software analytics tasks, but their adoption is hindered by high computational costs, slow inference speeds, and substantial environmental impact. Model compression techniques such as pruning, quantization, and knowledge distillation have gained traction in addressing these challenges. However, the impact of these strategies on the robustness of compressed language models for code in adversarial scenarios remains poorly understood. Understanding how these compressed models behave under adversarial attacks is essential for their safe and effective deployment in real-world applications. To bridge this knowledge gap, we conduct a comprehensive evaluation of how common compression strategies affect the adversarial robustness of compressed models. We assess the robustness of compressed versions of three widely used language models for code across three software analytics tasks, using six evaluation metrics and four commonly used classical adversarial attacks. Our findings indicate that compressed models generally maintain comparable performance to their uncompressed counterparts. However, when subjected to adversarial attacks, compressed models exhibit significantly reduced robustness. These results reveal a trade-off between model size reduction and adversarial robustness, underscoring the need for careful consideration when deploying compressed models in security-critical software applications. Our study highlights the need for further research into compression strategies that strike a balance between computational efficiency and adversarial robustness, which is essential for deploying reliable language models for code in real-world software applications."
