"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"A systematic survey of security threats and defenses in LLM-based AI agents: A layered attack surface framework","https://scispace.com/paper/UhpD7ok79McJ","","","","K Chu","","https://arxiv.org/pdf/2604.23338","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a layered attack surface framework to link multi‑agent LLM threats, lateral‑movement propagation, cryptographic provenance, and shared memory protection in a unified discussion.",""
"A survey on the security of long-term memory in llm agents: Toward mnemonic sovereignty","https://scispace.com/paper/3PNzuBGZ5KEJ","","","","Z Lin
C Li
K Chen","","https://arxiv.org/pdf/2604.16548","- **Relevance Score:** 61/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Focuses on long‑term LLM memory security, provenance failures, and self‑replicating prompts; strong on multi‑agent threats, trust/provenance, and memory protection, but lacks explicit lateral‑movement attack analysis.",""
"Memory poisoning and secure multi-agent systems","https://scispace.com/paper/5c3a_F3iMgoJ","","","","V Torra
M Bras-Amorós","","https://arxiv.org/pdf/2603.20357","- **Relevance Score:** 57/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a framework to secure LLM‑based agents, discusses provenance structures and mitigation, and examines AI memory protection, but lacks detailed lateral‑movement attack modeling.",""
"Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation","https://scispace.com/paper/zgMvZ7_5Yh0J","","","","Y Ling
S Yu
Z Chen
C Fang","","https://arxiv.org/pdf/2606.10749","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a taxonomy of LLM‑agent threats, including prompt injection and state corruption, to examine multi‑agent attacks and propagation; touches on memory persistence and provenance but lacks a unified trust‑lineage framework.",""
"A Survey of Scaling in Large Language Model Reasoning","https://scispace.com/paper/a-survey-of-scaling-in-large-language-model-reasoning-7ihddwwmhiaz","2025","Journal Article","arXiv.org","Zihan Chen
Song Wang
Zhen Tan
Xingbo Fu
Zhenyu Lei
Peng Wang
Huan Liu
Cong Shen
Jundong Li","10.48550/arxiv.2504.02181","https://scispace.compdf/a-survey-of-scaling-in-large-language-model-reasoning-7ihddwwmhiaz.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AgentPoison and BlockAgents to discuss memory‑augmented multi‑agent threats, mentions collusive attacks and long‑term memory poisoning, but lacks a unified trust‑provenance framework.",""
"Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities","https://scispace.com/paper/flooding-spread-of-manipulated-knowledge-in-llm-based-multi-5engbfoxm5kg","2024","Journal Article","","Tianjie Ju
Yiting Wang
Yi Hua
Xinbei Ma
Pengzhou Cheng
Haodong Zhao
Yulong Wang
Lifeng Liu
Jian Xie
Zhuosheng Zhang
Gongshen Liu","10.21203/rs.3.rs-5292520/v1","","- **Relevance Score:** 51/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows how manipulated knowledge spreads across LLM agents and persists via RAG chat histories, proposes prompt‑based defenses, but lacks explicit trust provenance or detailed memory protection mechanisms.","<title>Abstract</title> The rapid adoption of large language models (LLMs) in multi-agent systems has highlighted their impressive capabilities in various applications. However, the security implications of these LLM-based multi-agent systems have not been thoroughly investigated, particularly concerning the spread of manipulated knowledge. In this paper, we aim to understand the security vulnerabilities associated with LLM-based multi-agent systems. We design a novel two-stage attack methodology, consisting of Persuasiveness Injection and Manipulated Knowledge Injection, to investigate the potential for manipulated knowledge to permeate trusted third-party platforms without explicit adversarial prompt attack. Through extensive experiments, we demonstrate that our attack method can successfully induce LLM-based agents to spread both counterfactual and toxic knowledge without degrading their foundational capabilities during agent communication. Furthermore, we show that these manipulations can persist through popular retrieval-augmented generation (RAG) frameworks, where several benign agents store and retrieve manipulated chat histories for future interactions. To mitigate the potential risk, we propose two defense strategies by designing system prompts to encourage agents to critically verify the knowledge they share and incorporating supervisory agents to oversee interactions. Results demonstrate that those strategies can effectively reduce the spread success rate. This work highlights the critical vulnerabilities inherent in LLM-based multi-agent communities and calls for the urgent need for platforms to swiftly adopt targeted defenses against manipulated knowledge spread. Results demonstrate that even these straightforward strategies can significantly reduce the spread success rate, which calls for platforms to swiftly adopt targeted, cost-effective measures to prevent the spread of manipulated knowledge. "
"Secure Multi-LLM Agentic AI and Agentification for Edge General Intelligence by Zero-Trust: A Survey","https://scispace.com/paper/secure-multi-llm-agentic-ai-and-agentification-for-edge-mubct3zmi5kr","2025","Journal Article","arXiv.org","Yinqiu Liu
Ruichen Zhang
Haoxiang Luo
Yijing Lin
Geng Sun
Dusit Niyato
Hongyang Du
Zehui Xiong
Yonggang Wen
Abbas Jamalipour
Dong In Kim
Ping Zhang","10.48550/arxiv.2508.19870","https://scispace.compdf/secure-multi-llm-agentic-ai-and-agentification-for-edge-mubct3zmi5kr.pdf","- **Relevance Score:** 47/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Survey links zero‑trust principles to multi‑LLM security and trust/provenance, but lacks lateral‑movement attack details and concrete AI memory protection mechanisms.","Agentification serves as a critical enabler of Edge General Intelligence (EGI), transforming massive edge devices into cognitive agents through integrating Large Language Models (LLMs) and perception, reasoning, and acting modules. These agents collaborate across heterogeneous edge infrastructures, forming multi-LLM agentic AI systems that leverage collective intelligence and specialized capabilities to tackle complex, multi-step tasks. However, the collaborative nature of multi-LLM systems introduces critical security vulnerabilities, including insecure inter-LLM communications, expanded attack surfaces, and cross-domain data leakage that traditional perimeter-based security cannot adequately address. To this end, this survey introduces zero-trust security of multi-LLM in EGI, a paradigmatic shift following the ``never trust, always verify''principle. We begin by systematically analyzing the security risks in multi-LLM systems within EGI contexts. Subsequently, we present the vision of a zero-trust multi-LLM framework in EGI. We then survey key technical progress to facilitate zero-trust multi-LLM systems in EGI. Particularly, we categorize zero-trust security mechanisms into model- and system-level approaches. The former and latter include strong identification, context-aware access control, etc., and proactive maintenance, blockchain-based management, etc., respectively. Finally, we identify critical research directions. This survey serves as the first systematic treatment of zero-trust applied to multi-LLM systems, providing both theoretical foundations and practical strategies."
"Toward Trustworthy Agentic AI: A Multimodal Framework for Preventing Prompt Injection Attacks","https://scispace.com/paper/QxQRGJqhaSEJ","","","","TA Syed
MA Almutairi
MA Moaty","","https://arxiv.org/pdf/2512.23557","- **Relevance Score:** 47/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a provenance registry and trust strategy to secure multi‑agent LLMs, directly addressing prompt injection and trust tracking, but lacks lateral‑movement attack discussion and detailed AI memory handling.",""
"Trojan Horse Prompting: Jailbreaking Conversational Multimodal Models by Forging Assistant Message","https://scispace.com/paper/trojan-horse-prompting-jailbreaking-conversational-1yyw723knapb","2025","Journal Article","arXiv.org","Wei Duan
Li Qian","10.48550/arxiv.2507.04673","https://scispace.compdf/trojan-horse-prompting-jailbreaking-conversational-1yyw723knapb.pdf","- **Relevance Score:** 47/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Trojan Horse Prompting to show infectious jailbreaks across agents, highlighting multi‑agent vulnerabilities and lateral movement. Mentions memory infection but lacks trust, provenance, or detailed memory protection mechanisms.","The rise of conversational interfaces has greatly enhanced LLM usability by leveraging dialogue history for sophisticated reasoning. However, this reliance introduces an unexplored attack surface. This paper introduces Trojan Horse Prompting, a novel jailbreak technique. Adversaries bypass safety mechanisms by forging the model's own past utterances within the conversational history provided to its API. A malicious payload is injected into a model-attributed message, followed by a benign user prompt to trigger harmful content generation. This vulnerability stems from Asymmetric Safety Alignment: models are extensively trained to refuse harmful user requests but lack comparable skepticism towards their own purported conversational history. This implicit trust in its""past""creates a high-impact vulnerability. Experimental validation on Google's Gemini-2.0-flash-preview-image-generation shows Trojan Horse Prompting achieves a significantly higher Attack Success Rate (ASR) than established user-turn jailbreaking methods. These findings reveal a fundamental flaw in modern conversational AI security, necessitating a paradigm shift from input-level filtering to robust, protocol-level validation of conversational context integrity."
"Trustworthy LLM Agents: Threats and Countermeasures","https://scispace.com/paper/trustworthy-llm-agents-threats-and-countermeasures-5qgs5941mnti","2025","Journal Article","","Vignan Chintala","10.36227/techrxiv.175519209.95291850/v1","https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.175519209.95291850","- **Relevance Score:** 46/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses threat taxonomy for LLM agents, covering multi‑agent attacks and trust concepts, but lacks detailed lateral‑movement scenarios and concrete AI memory protection mechanisms.",""
