"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Exploiting llm quantization","https://scispace.com/paper/exploiting-llm-quantization-pqaf8bpefd3n","2024","Journal Article","","Kazuki Egashira
Jingxuan He
Robin Staab
Martin Vechev
Mark Vero","10.52202/079017-1319","https://proceedings.neurips.cc/paper_files/paper/2024/file/496720b3c860111b95ac8634349dcc88-Paper-Conference.pdf","… -staged attack framework: (i) first, we obtain a malicious LLM … not all LLM weights are quantized by zero-shot quantization … that our attack adheres to the reference implementation of the …",""
"Hardening llm fine-tuning: From differentially private data selection to trustworthy model quantization","https://scispace.com/paper/hardening-llm-fine-tuning-from-differentially-private-data-wmz3aj8n4rli","","Journal Article","IEEE Transactions on Information Forensics and Security","Zehang Deng
Ruoxi Sun
Minhui Xue
Wanlun Ma
Sheng Wen
Surya Nepal
Yang Xiang","10.1109/tifs.2025.3581103","","… downstream LLM fine-tuning; Step 4: the fine-tuned LLM is compressed using our quantization … outliers and adjusting the dynamic quantization range. Experimental results demonstrate …",""
"Fine-tuning, quantization, and llms: Navigating unintended outcomes","https://scispace.com/paper/sfEmjjHmBikJ","","","","D Kumar
A Kumar
S Agarwal
P Harshangi","","https://arxiv.org/pdf/2404.04392","… quantization resource-constrained environments. This study investigates the impact of these modifications on LLM … attacks, while quantization has variable effects on attack success rates…",""
"Smaller= weaker? benchmarking robustness of quantized llms in code generation","https://scispace.com/paper/smaller-weaker-benchmarking-robustness-of-quantized-llms-in-q04670afe0ay","","Journal Article","arXiv.org","Sen Fang
Antonio Mastropaolo
Bowen Xu","10.48550/arxiv.2506.22776","https://arxiv.org/pdf/2506.22776?","… that quantized LLMs often exhibit greater robustness than their original versions, both in handling adversarial … LLM families and model sizes: quantized models generally exhibit superior …",""
"Evaluating quantized large language models","https://scispace.com/paper/evaluating-quantized-large-language-models-1bm3ot6170","2024","Journal Article","arXiv.org","Shiyao Li
Xuefei Ning
Luning Wang
Tengxuan Liu
Xiangsheng Shi
Shengen Yan
Guohao Dai
Huazhong Yang
Yu Wang","10.48550/arxiv.2402.18158","https://arxiv.org/pdf/2402.18158","… In each group, we apply the asymmetric uniform quantization … Quantization, we apply asymmetric group-wise quantization … Most LLM families can be quantized to W8, W8A8, and KV4 …","Post-training quantization (PTQ) has emerged as a promising technique to reduce the cost of large language models (LLMs). Specifically, PTQ can effectively mitigate memory consumption and reduce computational overhead in LLMs. To meet the requirements of both high efficiency and performance across diverse scenarios, a comprehensive evaluation of quantized LLMs is essential to guide the selection of quantization methods. This paper presents a thorough evaluation of these factors by evaluating the effect of PTQ on Weight, Activation, and KV Cache on 11 model families, including OPT, LLaMA2, Falcon, Bloomz, Mistral, ChatGLM, Vicuna, LongChat, StableLM, Gemma, and Mamba, with parameters ranging from 125M to 180B. The evaluation encompasses five types of tasks: basic NLP, emergent ability, trustworthiness, dialogue, and long-context tasks. Moreover, we also evaluate the state-of-the-art (SOTA) quantization methods to demonstrate their applicability. Based on the extensive experiments, we systematically summarize the effect of quantization, provide recommendations to apply quantization techniques, and point out future directions. The code can be found in https://github.com/thu-nics/qllm-eval."
"Investigating the impact of quantization methods on the safety and reliability of large language models","https://scispace.com/paper/investigating-the-impact-of-quantization-methods-on-the-8s5wdx509pqa","2025","Journal Article","arXiv.org","Artyom Kharinaev
Viktor Moskvoretskii
Egor Shvetsov
Kseniia Studenikina
Bykov Mikhail
E. Burnaev","10.48550/arxiv.2502.15799","https://ieeexplore.ieee.org/iel8/6287639/6514899/11563799.pdf","… In this section, we describe the experimental procedure employed to assess the safety of quantized models and the robustness of LLM-as-a-Judge for safety evaluation. …",""
"Mind the gap: A practical attack on GGUF quantization","https://scispace.com/paper/mind-the-gap-a-practical-attack-on-gguf-quantization-ngiygw0b0zbz","2025","Journal Article","","Egashira Kazuki
Staab, Robin
Vero, Mark
He Jingxuan
Vechev Martin","10.48550/arxiv.2505.23786","https://arxiv.org/pdf/2505.23786","… version – provides sufficient flexibility to construct malicious quantized models that … an attack that trains the target malicious LLM while constraining its weights based on quantization …","With the increasing size of frontier LLMs, post-training quantization has become the standard for memory-efficient deployment. Recent work has shown that basic rounding-based quantization schemes pose security risks, as they can be exploited to inject malicious behaviors into quantized models that remain hidden in full precision. However, existing attacks cannot be applied to more complex quantization methods, such as the GGUF family used in the popular ollama and llama$.$cpp frameworks. In this work, we address this gap by introducing the first attack on GGUF. Our key insight is that the quantization error -- the difference between the full-precision weights and their (de-)quantized version -- provides sufficient flexibility to construct malicious quantized models that appear benign in full precision. Leveraging this, we develop an attack that trains the target malicious LLM while constraining its weights based on quantization errors. We demonstrate the effectiveness of our attack on three popular LLMs across nine GGUF quantization data types on three diverse attack scenarios: insecure code generation ($Δ$=$88.7\%$), targeted content injection ($Δ$=$85.0\%$), and benign instruction refusal ($Δ$=$30.1\%$). Our attack highlights that (1) the most widely used post-training quantization method is susceptible to adversarial interferences, and (2) the complexity of quantization schemes alone is insufficient as a defense. "
"AQUA-LLM: Evaluating Accuracy, Quantization, and Adversarial Robustness Trade-offs in LLMs for Cybersecurity Question Answering","https://scispace.com/paper/aqua-llm-evaluating-accuracy-quantization-and-adversarial-u4yhdo3wqece","2025","Journal Article","","Gungor, Onat
Rosing, Tajana","10.48550/arxiv.2509.13514","https://arxiv.org/pdf/2509.13514","… Here, we present base, quantized, fine-tuned, and fine-tuned quantized LLM con… , and robustness. For instance, in Mistral-7B (Figure 5a), this trade-off is clearly observed: the quantized …","Large Language Models (LLMs) have recently demonstrated strong potential for cybersecurity question answering (QA), supporting decision-making in real-time threat detection and response workflows. However, their substantial computational demands pose significant challenges for deployment on resource-constrained edge devices. Quantization, a widely adopted model compression technique, can alleviate these constraints. Nevertheless, quantization may degrade model accuracy and increase susceptibility to adversarial attacks. Fine-tuning offers a potential means to mitigate these limitations, but its effectiveness when combined with quantization remains insufficiently explored. Hence, it is essential to understand the trade-offs among accuracy, efficiency, and robustness. We propose AQUA-LLM, an evaluation framework designed to benchmark several state-of-the-art small LLMs under four distinct configurations: base, quantized-only, fine-tuned, and fine-tuned combined with quantization, specifically for cybersecurity QA. Our results demonstrate that quantization alone yields the lowest accuracy and robustness despite improving efficiency. In contrast, combining quantization with fine-tuning enhances both LLM robustness and predictive performance, achieving an optimal balance of accuracy, robustness, and efficiency. These findings highlight the critical need for quantization-aware, robustness-preserving fine-tuning methodologies to enable the robust and efficient deployment of LLMs for cybersecurity QA. "
"Durable quantization conditioned misalignment attack on large language models","https://scispace.com/paper/O0LW5Y2ICjIJ","","","","P Dong
H Li
S Guo","","https://openreview.net/pdf?id=41uZB8bDFh","… We demonstrate that our Q-Misalign attack effectively bypasses safety mechanisms and … current LLM safety measures and call for more robust defenses in quantization-aware scenarios. …",""
"Q-MLLM: Vector Quantization for Robust Multimodal Large Language Model Security","https://scispace.com/paper/q-mllm-vector-quantization-for-robust-multimodal-large-3y9atlhj8xc9","2025","Journal Article","arXiv.org","Wei Zhao
Zhe Li
Yige Li
Junfeng Sun","10.48550/arxiv.2511.16229","https://arxiv.org/pdf/2511.16229","… to create a discrete bottleneck against adversarial attacks … levels, Q-MLLM blocks attack pathways and bridges the cross-modal … This work establishes vector quantization as an effective …","Multimodal Large Language Models (MLLMs) have demonstrated impressive capabilities in cross-modal understanding, but remain vulnerable to adversarial attacks through visual inputs despite robust textual safety mechanisms. These vulnerabilities arise from two core weaknesses: the continuous nature of visual representations, which allows for gradient-based attacks, and the inadequate transfer of text-based safety mechanisms to visual content. We introduce Q-MLLM, a novel architecture that integrates two-level vector quantization to create a discrete bottleneck against adversarial attacks while preserving multimodal reasoning capabilities. By discretizing visual representations at both pixel-patch and semantic levels, Q-MLLM blocks attack pathways and bridges the cross-modal safety alignment gap. Our two-stage training methodology ensures robust learning while maintaining model utility. Experiments demonstrate that Q-MLLM achieves significantly better defense success rate against both jailbreak attacks and toxic image attacks than existing approaches. Notably, Q-MLLM achieves perfect defense success rate (100\%) against jailbreak attacks except in one arguable case, while maintaining competitive performance on multiple utility benchmarks with minimal inference overhead. This work establishes vector quantization as an effective defense mechanism for secure multimodal AI systems without requiring expensive safety-specific fine-tuning or detection overhead. Code is available at https://github.com/Amadeuszhao/QMLLM."
