"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Agentpoison: Red-teaming llm agents via poisoning memory or knowledge bases","https://scispace.com/paper/agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-kl0o6xv0zg9s","2024","Journal Article","","Zhaorun Chen
Bo Li
Dawn Song
Zhen Xiang
Chaowei Xiao","10.52202/079017-4136","https://proceedings.neurips.cc/paper_files/paper/2024/file/eb113910e9c3f6242541c1652e30dfd6-Paper-Conference.pdf","… attack targeting generic and RAG-based LLM agents by … We inject the poisoning instances into the RAG knowledge … we treat the LLM as an one-step optimizer and prompt it to obtain b …",""
"{PoisonedRAG}: Knowledge corruption attacks to {Retrieval-Augmented} generation of large language models","https://scispace.com/paper/E9Vh0e5EmEwJ","","","","W Zou
R Geng
B Wang
J Jia","","https://www.usenix.org/system/files/usenixsecurity25-zou-poisonedrag.pdf","… input of an LLM such that the LLM could follow the injected … We can extend prompt injection attacks to attack RAG. For … , Naive Attack, Corpus Poisoning Attack, and GCG Attack are …",""
"Towards secure retrieval-augmented generation: A comprehensive review of threats, defenses and benchmarks","https://scispace.com/paper/X5usUSKQ9HMJ","","","","Y Mu
H Hu
F Li
Q Yuan
J Wu
Z Liu
P Liu","","https://arxiv.org/pdf/2603.21654","… The deep integration of Memory management with RAG has … final output of an LLM by compromising the RAG system’s … vectors such as prompt injection and data contamination, and by …",""
"Securing Retrieval-Augmented Generation: A Taxonomy of Attacks, Defenses, and Future Directions","https://scispace.com/paper/Zoxx-TY_UFwJ","","","","Y Xu
M Zhang
Z Ge
H Li
N Hu
Y Zhang","","https://arxiv.org/pdf/2604.08304","… retrievable pages or files, agent memory, or the queries sent to … the LLM that do not need external knowledge, such as prompt-… PIDP-Attack [97] combines prompt injection with database …",""
"Exploring the security threats of knowledge base poisoning in retrieval-augmented code generation","https://scispace.com/paper/exploring-the-security-threats-of-knowledge-base-poisoning-o75kqyfml8bf","2025","Journal Article","arXiv.org","Bo Lin
Shangwen Wang
Liqian Chen
Xiaoguang Mao","10.48550/arxiv.2502.03233","https://arxiv.org/pdf/2502.03233","… We investigate the LLMgenerated code security across … However, it has overlooked the security implications of RAG… Prompt 1 illustrates the prompt we used to generate queries, …",""
"Benchmarking poisoning attacks against retrieval-augmented generation","https://scispace.com/paper/benchmarking-poisoning-attacks-against-retrieval-augmented-92v10qb8xour","2025","Journal Article","","Bo Zhang
Hongbo Xin
Jiatong Li
Dongzhe Zhang
Minghong Fang
Zhuqing Liu
L. S. Nie
Zheli Liu","10.48550/arxiv.2505.18543","https://arxiv.org/pdf/2505.18543?","… and adapts RAG poisoning attacks to the LLM agent setting (… Prompt injection was originally proposed to manipulate LLM … defense designs a RAG system prompt that requires the LLM …","Retrieval-Augmented Generation (RAG) has proven effective in mitigating hallucinations in large language models by incorporating external knowledge during inference. However, this integration introduces new security vulnerabilities, particularly to poisoning attacks. Although prior work has explored various poisoning strategies, a thorough assessment of their practical threat to RAG systems remains missing. To address this gap, we propose the first comprehensive benchmark framework for evaluating poisoning attacks on RAG. Our benchmark covers 5 standard question answering (QA) datasets and 10 expanded variants, along with 13 poisoning attack methods and 7 defense mechanisms, representing a broad spectrum of existing techniques. Using this benchmark, we conduct a comprehensive evaluation of all included attacks and defenses across the full dataset spectrum. Our findings show that while existing attacks perform well on standard QA datasets, their effectiveness drops significantly on the expanded versions. Moreover, our results demonstrate that various advanced RAG architectures, such as sequential, branching, conditional, and loop RAG, as well as multi-turn conversational RAG, multimodal RAG systems, and RAG-based LLM agent systems, remain susceptible to poisoning attacks. Notably, current defense techniques fail to provide robust protection, underscoring the pressing need for more resilient and generalizable defense strategies. "
"Memory poisoning attack and defense on memory based LLM-agents","https://scispace.com/paper/memory-poisoning-attack-and-defense-on-memory-based-llm-cnxqvfbtnfhg","2026","Journal Article","","B. Ratna Sunil
Isheeta Sinha
Piyush Maheshwari
Shantanu Todmal
Shreyan Malik
S. M. Mishra","10.48550/arxiv.2601.05504","https://arxiv.org/pdf/2601.05504","… MINJA (Memory Injection Attack), a practical attack that … , which targets RAG knowledge bases and memory stores but … number of memories with malicious indication prompt included …","Large language model agents equipped with persistent memory are vulnerable to memory poisoning attacks, where adversaries inject malicious instructions through query only interactions that corrupt the agents long term memory and influence future responses. Recent work demonstrated that the MINJA (Memory Injection Attack) achieves over 95 % injection success rate and 70 % attack success rate under idealized conditions. However, the robustness of these attacks in realistic deployments and effective defensive mechanisms remain understudied. This work addresses these gaps through systematic empirical evaluation of memory poisoning attacks and defenses in Electronic Health Record (EHR) agents. We investigate attack robustness by varying three critical dimensions: initial memory state, number of indication prompts, and retrieval parameters. Our experiments on GPT-4o-mini, Gemini-2.0-Flash and Llama-3.1-8B-Instruct models using MIMIC-III clinical data reveal that realistic conditions with pre-existing legitimate memories dramatically reduce attack effectiveness. We then propose and evaluate two novel defense mechanisms: (1) Input/Output Moderation using composite trust scoring across multiple orthogonal signals, and (2) Memory Sanitization with trust-aware retrieval employing temporal decay and pattern-based filtering. Our defense evaluation reveals that effective memory sanitization requires careful trust threshold calibration to prevent both overly conservative rejection (blocking all entries) and insufficient filtering (missing subtle attacks), establishing important baselines for future adaptive defense mechanisms. These findings provide crucial insights for securing memory-augmented LLM agents in production environments. "
"A survey on the security of long-term memory in llm agents: Toward mnemonic sovereignty","https://scispace.com/paper/3PNzuBGZ5KEJ","","","","Z Lin
C Li
K Chen","","https://arxiv.org/pdf/2604.16548","… memory security is neither a subsidiary branch of prompt injection nor a synonym for RAG security… primary works directly on LLM agent or RAG memory security, distributed by evidence …",""
"Pr-attack: Coordinated prompt-rag attacks on retrieval-augmented generation in large language models via bilevel optimization","https://scispace.com/paper/pr-attack-coordinated-prompt-rag-attacks-on-retrieval-zgyrkmivdkiu","2025","Proceedings Article","","Yang Jiao
Xiaodong Wang
Kai Yang","10.1145/3726302.3730058","https://dl.acm.org/doi/pdf/10.1145/3726302.3730058","… attack differs significantly from simply combining existing prompt attack and RAG-based LLM attack … the prompts for the users and inject texts into the knowledge database [15]. Different …",""
"Memory poisoning and secure multi-agent systems","https://scispace.com/paper/5c3a_F3iMgoJ","","","","V Torra
M Bras-Amorós","","https://arxiv.org/pdf/2603.20357","… decisions are based on LLM technology enlarged with retrieval-augmented generation (RAG). The … The problem also has relation to prompt hacking [11] (on both prompt injection and …",""
