"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Securing AI Agents Against Prompt Injection Attacks","https://scispace.com/paper/securing-ai-agents-against-prompt-injection-attacks-0i1e3904i7ix","2025","Journal Article","arXiv.org","Badrinath Ramakrishnan
Akshaya Balaji","10.48550/arxiv.2511.15759","https://export.arxiv.org/pdf/2511.15759v1.pdf","Retrieval-augmented generation (RAG) systems have become widely used for enhancing large language model capabilities, but they introduce significant security vulnerabilities through prompt injection attacks. We present a comprehensive benchmark for evaluating prompt injection risks in RAG-enabled AI agents and propose a multi-layered defense framework. Our benchmark includes 847 adversarial test cases across five attack categories: direct injection, context manipulation, instruction override, data exfiltration, and cross-context contamination. We evaluate three defense mechanisms: content filtering with embedding-based anomaly detection, hierarchical system prompt guardrails, and multi-stage response verification, across seven state-of-the-art language models. Our combined framework reduces successful attack rates from 73.2% to 8.7% while maintaining 94.3% of baseline task performance. We release our benchmark dataset and defense implementation to support future research in AI agent security.","This study presents a comprehensive benchmark for evaluating prompt injection risks in retrieval-augmented generation (RAG) AI agents and proposes a multi-layered defense framework, reducing successful attack rates from 73.2% to 8.7% while maintaining 94.3% of baseline task performance."
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms","https://scispace.com/paper/prompt-injection-attacks-in-large-language-models-and-ai-dsv4ibw3x43q","2025","Repository","","Said Gulyamov
Andrey Rodionov
Rustam Khursanov
Kambariddin Mekhmonov
Djakhongir Babaev
Akmaljon Rakhimjonov","10.20944/preprints202511.0088.v1","","Large Language Models (LLMs) have rapidly transformed artificial intelligence applica-tions across industries, yet their integration into production systems has unveiled critical security vulnerabilities, chief among them prompt injection attacks. This comprehensive review synthesizes research from 2023-2025, analyzing over 120 peer-reviewed papers, industry security reports, and documented real-world exploits. We examine the taxonomy of prompt injection techniques, including direct jailbreaking and indirect injection through external content. The rise of AI agent systems and the Model Context Protocol (MCP) has dramatically expanded attack surfaces, introducing vulnerabilities such as tool poisoning and credential theft. We document critical incidents including GitHub Copilot&amp;#039;s CVE-2025-53773 remote code execution vulnerability (CVSS 9.6) and ChatGPT&amp;#039;s Windows license key exposure. Research demonstrates that just five carefully crafted documents can manipulate AI responses 90% of the time through Retrieval-Augmented Generation (RAG) poisoning. This review provides actionable mitigation strategies based on OWASP Top 10 for LLM Applications 2025, identifies fundamental limitations including the stochastic nature problem and alignment paradox, and proposes research directions for architectur-ally secure AI systems. Our analysis reveals that prompt injection represents a funda-mental architectural vulnerability requiring defense-in-depth approaches rather than singular solutions. ",""
"Security Challenges in AI Agent Deployment: Insights from a Large Scale Public Competition","https://scispace.com/paper/security-challenges-in-ai-agent-deployment-insights-from-a-vjoaq7ospqyt","2025","Journal Article","","Zou, Andy
Lin, Maxwell
Jones, Eliot
Davies, Xander
Patel, Jai
Kirk, Robert
Gal, Yarin
Hendrycks, Dan
Kolter, J. Zico
Fredrikson, Matt","10.48550/arxiv.2507.20526","","Recent advances have enabled LLM-powered AI agents to autonomously execute complex tasks by combining language model reasoning with tools, memory, and web access. But can these systems be trusted to follow deployment policies in realistic environments, especially under attack? To investigate, we ran the largest public red-teaming competition to date, targeting 22 frontier AI agents across 44 realistic deployment scenarios. Participants submitted 1.8 million prompt-injection attacks, with over 60,000 successfully eliciting policy violations such as unauthorized data access, illicit financial actions, and regulatory noncompliance. We use these results to build the Agent Red Teaming (ART) benchmark - a curated set of high-impact attacks - and evaluate it across 19 state-of-the-art models. Nearly all agents exhibit policy violations for most behaviors within 10-100 queries, with high attack transferability across models and tasks. Importantly, we find limited correlation between agent robustness and model size, capability, or inference-time compute, suggesting that additional defenses are needed against adversarial misuse. Our findings highlight critical and persistent vulnerabilities in today's AI agents. By releasing the ART benchmark and accompanying evaluation framework, we aim to support more rigorous security assessment and drive progress toward safer agent deployment. ",""
"Prompt Injection 2.0: Hybrid AI Threats","https://scispace.com/paper/prompt-injection-2-0-hybrid-ai-threats-ooogubw7mvdy","2025","Journal Article","arXiv.org","Jeremy McHugh
Kristina Sekrst
Jonathan Rodriguez Cefalu","10.48550/arxiv.2507.13169","","Prompt injection attacks, where malicious input is designed to manipulate AI systems into ignoring their original instructions and following unauthorized commands instead, were first discovered by Preamble, Inc. in May 2022 and responsibly disclosed to OpenAI. Over the last three years, these attacks have continued to pose a critical security threat to LLM-integrated systems. The emergence of agentic AI systems, where LLMs autonomously perform multistep tasks through tools and coordination with other agents, has fundamentally transformed the threat landscape. Modern prompt injection attacks can now combine with traditional cybersecurity exploits to create hybrid threats that systematically evade traditional security controls. This paper presents a comprehensive analysis of Prompt Injection 2.0, examining how prompt injections integrate with Cross-Site Scripting (XSS), Cross-Site Request Forgery (CSRF), and other web security vulnerabilities to bypass traditional security measures. We build upon Preamble's foundational research and mitigation technologies, evaluating them against contemporary threats, including AI worms, multi-agent infections, and hybrid cyber-AI attacks. Our analysis incorporates recent benchmarks that demonstrate how traditional web application firewalls, XSS filters, and CSRF tokens fail against AI-enhanced attacks. We also present architectural solutions that combine prompt isolation, runtime security, and privilege separation with novel threat detection capabilities.","This paper analyzes Prompt Injection 2.0, a hybrid AI threat combining prompt injection attacks with traditional cybersecurity exploits, evading traditional security controls, and compromising LLM-integrated systems through XSS, CSRF, and web security vulnerabilities."
"Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges","https://scispace.com/paper/agentic-ai-security-threats-defenses-evaluation-and-open-gjv4lpqp3c35","2025","Journal Article","","Chhabra Anshuman
Mohapatra, Prasant","10.48550/arxiv.2510.23883","","Agentic AI systems powered by large language models (LLMs) and endowed with planning, tool use, memory, and autonomy, are emerging as powerful, flexible platforms for automation. Their ability to autonomously execute tasks across web, software, and physical environments creates new and amplified security risks, distinct from both traditional AI safety and conventional software security. This survey outlines a taxonomy of threats specific to agentic AI, reviews recent benchmarks and evaluation methodologies, and discusses defense strategies from both technical and governance perspectives. We synthesize current research and highlight open challenges, aiming to support the development of secure-by-design agent systems. ",""
"Security of AI Agents","https://scispace.com/paper/security-of-ai-agents-2dmf1kk0la","2024","Preprint","","Yusen He
E. Wang
Yuyang Rong
Zifei Cheng
Hao Chen","10.48550/arxiv.2406.08689","https://scispace.compdf/security-of-ai-agents-2dmf1kk0la.pdf","The study and development of AI agents have been boosted by large language models. AI agents can function as intelligent assistants and complete tasks on behalf of their users with access to tools and the ability to execute commands in their environments, Through studying and experiencing the workflow of typical AI agents, we have raised several concerns regarding their security. These potential vulnerabilities are not addressed by the frameworks used to build the agents, nor by research aimed at improving the agents. In this paper, we identify and describe these vulnerabilities in detail from a system security perspective, emphasizing their causes and severe effects. Furthermore, we introduce defense mechanisms corresponding to each vulnerability with meticulous design and experiments to evaluate their viability. Altogether, this paper contextualizes the security issues in the current development of AI agents and delineates methods to make AI agents safer and more reliable. ","The security of AI agents is compromised by vulnerabilities not addressed by existing frameworks and research. These vulnerabilities include command injection, data poisoning, and adversarial manipulation. This paper identifies and describes these vulnerabilities, proposes defense mechanisms, and evaluates their effectiveness."
"Advances in AI-Driven Cybersecurity: Tackling Prompt Injection Attacks through Adversarial Learning","https://scispace.com/paper/advances-in-ai-driven-cybersecurity-tackling-prompt-i5i2acx1p8no","2025","Journal Article","Journal of Engineering Issues and Solutions","Subash Ghimire
Suman Thapaliya","10.3126/joeis.v4i1.81604","","The rapid adoption of large language models (LLMs) such as ChatGPT, Bard, and Claude has transformed human-computer interaction across various industries. However, this advancement introduces novel cybersecurity threats—particularly prompt injection attacks—that exploit the models’ instruction-following abilities to produce malicious or unintended outputs. Existing cybersecurity frameworks lack the capacity to counter these emerging threats, demanding AI- centric defense strategies. This study explores the role of adversarial machine learning in mitigating prompt injection vulnerabilities. We conduct a comprehensive analysis of how adversarial prompts are crafted to circumvent content filters, hijack model behavior, and extract sensitive data. Building upon recent advances in adversarial learning, we propose a robust defense framework that combines adversarial training with input sanitization techniques to detect and neutralize harmful prompts. The framework is evaluated on leading LLM platforms using both benchmark datasets and real- world scenarios. Results show enhanced resistance to both direct and indirect prompt injection attacks, with minimal compromise to model performance and responsiveness. By embedding adversarial robustness into the deployment lifecycle of LLMs, our work advances the development of secure and trustworthy AI systems. These findings emphasize the need for evolving AI-native security protocols aligned with the dynamic nature of generative models, ensuring safe and responsible AI deployment. ","This study proposes an AI-driven cybersecurity framework using adversarial learning to counter prompt injection attacks on large language models, enhancing resistance to malicious prompts while maintaining model performance and responsiveness."
"BrowseSafe: Understanding and Preventing Prompt Injection Within AI Browser Agents","https://scispace.com/paper/browsesafe-understanding-and-preventing-prompt-injection-htjrcoclsubh","2025","Journal Article","arXiv.org","Kaiyuan Zhang
Mark Tenenholtz
Kyle Polley
Jerry Ma
Denis Yarats
Ninghui Li","10.48550/arxiv.2511.20597","https://export.arxiv.org/pdf/2511.20597v1.pdf","The integration of artificial intelligence (AI) agents into web browsers introduces security challenges that go beyond traditional web application threat models. Prior work has identified prompt injection as a new attack vector for web agents, yet the resulting impact within real-world environments remains insufficiently understood. In this work, we examine the landscape of prompt injection attacks and synthesize a benchmark of attacks embedded in realistic HTML payloads. Our benchmark goes beyond prior work by emphasizing injections that can influence real-world actions rather than mere text outputs, and by presenting attack payloads with complexity and distractor frequency similar to what real-world agents encounter. We leverage this benchmark to conduct a comprehensive empirical evaluation of existing defenses, assessing their effectiveness across a suite of frontier AI models. We propose a multi-layered defense strategy comprising both architectural and model-based defenses to protect against evolving prompt injection attacks. Our work offers a blueprint for designing practical, secure web agents through a defense-in-depth approach.","This study, BrowseSafe, examines prompt injection attacks in AI browser agents, developing a benchmark of realistic attacks and evaluating existing defenses, proposing a multi-layered defense strategy to protect against evolving threats in web agents."
"Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents","https://scispace.com/paper/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a","2024","Journal Article","arXiv.org","Hanrong Zhang
Jingyuan Huang
Kai Mei
Yifei Yao
Zhenting Wang
Chenlu Zhan
Hongwei Wang
Yongfeng Zhang","10.48550/arxiv.2410.02644","https://scispace.compdf/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a.pdf","Although LLM-based agents, powered by Large Language Models (LLMs), can use external tools and memory mechanisms to solve complex real-world tasks, they may also introduce critical security vulnerabilities. However, the existing literature does not comprehensively evaluate attacks and defenses against LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a comprehensive framework designed to formalize, benchmark, and evaluate the attacks and defenses of LLM-based agents, including 10 scenarios (e.g., e-commerce, autonomous driving, finance), 10 agents targeting the scenarios, over 400 tools, 23 different types of attack/defense methods, and 8 evaluation metrics. Based on ASB, we benchmark 10 prompt injection attacks, a memory poisoning attack, a novel Plan-of-Thought backdoor attack, a mixed attack, and 10 corresponding defenses across 13 LLM backbones with nearly 90,000 testing cases in total. Our benchmark results reveal critical vulnerabilities in different stages of agent operation, including system prompt, user prompt handling, tool usage, and memory retrieval, with the highest average attack success rate of 84.30\%, but limited effectiveness shown in current defenses, unveiling important works to be done in terms of agent security for the community. Our code can be found at https://github.com/agiresearch/ASB.","This study introduces Agent Security Bench (ASB), a comprehensive framework to formalize, benchmark, and evaluate attacks and defenses in LLM-based agents, revealing critical vulnerabilities and limited effectiveness of current defenses across 13 LLM backbones."
"Future Trends in Securing Autonomous AI Agents","https://scispace.com/paper/future-trends-in-securing-autonomous-ai-agents-vp3fit2j5tjl","2025","Journal Article","Advances in computational intelligence and robotics book series","Ryan Yates","10.4018/979-8-3373-6876-4.ch010","","The rapid evolution of autonomous AI agents has introduced unprecedented opportunities across domains such as finance, healthcare, defense, and smart infrastructure. However, these advancements come with heightened security risks, including adversarial attacks, system manipulation, data breaches, and unauthorized decision-making. This chapter explores emerging trends in securing autonomous AI agents, emphasizing proactive defense mechanisms, resilient system design, robust monitoring strategies, and ethical AI governance. By integrating advanced cryptographic techniques, continuous learning defenses, and multi-layered security frameworks, the chapter highlights pathways to mitigate vulnerabilities while fostering innovation. Additionally, it outlines research opportunities aimed at developing adaptive, trustworthy, and explainable AI agents capable of functioning securely in dynamic environments. The discussion also considers regulatory compliance, interoperability, and cross-domain collaboration as critical enablers of resilient autonomous AI systems. ",""
