"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Security and Privacy in Multi-Agent LLM Networks","https://scispace.com/paper/security-and-privacy-in-multi-agent-llm-networks-mskhy4ef35rg","2025","Journal Article","Advances in computational intelligence and robotics book series","Pawan Kumar Goel
Satya Prakash Yadav
Monika Singh","10.4018/979-8-3373-1419-8.ch009","","The integration of multi-agent systems with large language models (LLMs) is a significant area in artificial intelligence, enabling collaborative problem-solving and decision-making. However, these networks pose significant security and privacy vulnerabilities, making them crucial for research and practical applications. This chapter focuses on vulnerability mitigation in multi-agent LLM networks, focusing on adversarial attacks, data leakage, and unauthorized access. Existing literature highlights challenges such as lack of robust defense mechanisms, complexity of securing decentralized communication, and privacy preservation in shared learning environments. A novel framework is proposed that integrates adaptive encryption, differential privacy, and decentralized consensus protocols to address these vulnerabilities. Experimental results show a 40% improvement in attack detection accuracy and a 35% reduction in data leakage compared to existing methods. ","This chapter addresses security and privacy vulnerabilities in multi-agent LLM networks, proposing a novel framework integrating adaptive encryption, differential privacy, and decentralized consensus protocols to mitigate adversarial attacks, data leakage, and unauthorized access with improved accuracy and reduced leakage."
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms","https://scispace.com/paper/prompt-injection-attacks-in-large-language-models-and-ai-dsv4ibw3x43q","2025","Repository","","Said Gulyamov
Andrey Rodionov
Rustam Khursanov
Kambariddin Mekhmonov
Djakhongir Babaev
Akmaljon Rakhimjonov","10.20944/preprints202511.0088.v1","","Large Language Models (LLMs) have rapidly transformed artificial intelligence applica-tions across industries, yet their integration into production systems has unveiled critical security vulnerabilities, chief among them prompt injection attacks. This comprehensive review synthesizes research from 2023-2025, analyzing over 120 peer-reviewed papers, industry security reports, and documented real-world exploits. We examine the taxonomy of prompt injection techniques, including direct jailbreaking and indirect injection through external content. The rise of AI agent systems and the Model Context Protocol (MCP) has dramatically expanded attack surfaces, introducing vulnerabilities such as tool poisoning and credential theft. We document critical incidents including GitHub Copilot&amp;#039;s CVE-2025-53773 remote code execution vulnerability (CVSS 9.6) and ChatGPT&amp;#039;s Windows license key exposure. Research demonstrates that just five carefully crafted documents can manipulate AI responses 90% of the time through Retrieval-Augmented Generation (RAG) poisoning. This review provides actionable mitigation strategies based on OWASP Top 10 for LLM Applications 2025, identifies fundamental limitations including the stochastic nature problem and alignment paradox, and proposes research directions for architectur-ally secure AI systems. Our analysis reveals that prompt injection represents a funda-mental architectural vulnerability requiring defense-in-depth approaches rather than singular solutions. ",""
"Seven Security Challenges That Must be Solved in Cross-domain Multi-agent LLM Systems","https://scispace.com/paper/seven-security-challenges-that-must-be-solved-in-cross-cza61ine6ngw","2025","Journal Article","","Ko, Ronny
Jeong Jiseong
Zheng Shu-yuan
Xiao Chuan
Kim Tae Wan
Onizuka Makoto
Shin, Won-Yong","10.48550/arxiv.2505.23847","https://scispace.compdf/seven-security-challenges-that-must-be-solved-in-cross-cza61ine6ngw.pdf","Large language models (LLMs) are rapidly evolving into autonomous agents that cooperate across organizational boundaries, enabling joint disaster response, supply-chain optimization, and other tasks that demand decentralized expertise without surrendering data ownership. Yet, cross-domain collaboration shatters the unified trust assumptions behind current alignment and containment techniques. An agent benign in isolation may, when receiving messages from an untrusted peer, leak secrets or violate policy, producing risks driven by emergent multi-agent dynamics rather than classical software bugs. This position paper maps the security agenda for cross-domain multi-agent LLM systems. We introduce seven categories of novel security challenges, for each of which we also present plausible attacks, security evaluation metrics, and future research guidelines. ",""
"Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems","https://scispace.com/paper/prompt-infection-llm-to-llm-prompt-injection-within-multi-5rcjyv2nbaup","2024","Journal Article","","Dong-Hyun Lee
Mansi Tiwari","10.48550/arxiv.2410.07283","https://export.arxiv.org/pdf/2410.07283v1.pdf","As Large Language Models (LLMs) grow increasingly powerful, multi-agent systems are becoming more prevalent in modern AI applications. Most safety research, however, has focused on vulnerabilities in single-agent LLMs. These include prompt injection attacks, where malicious prompts embedded in external content trick the LLM into executing unintended or harmful actions, compromising the victim's application. In this paper, we reveal a more dangerous vector: LLM-to-LLM prompt injection within multi-agent systems. We introduce Prompt Infection, a novel attack where malicious prompts self-replicate across interconnected agents, behaving much like a computer virus. This attack poses severe threats, including data theft, scams, misinformation, and system-wide disruption, all while propagating silently through the system. Our extensive experiments demonstrate that multi-agent systems are highly susceptible, even when agents do not publicly share all communications. To address this, we propose LLM Tagging, a defense mechanism that, when combined with existing safeguards, significantly mitigates infection spread. This work underscores the urgent need for advanced security measures as multi-agent LLM systems become more widely adopted. ","This paper introduces ""Prompt Infection"", a novel attack vector in multi-agent systems where malicious prompts self-replicate across interconnected agents, posing threats like data theft, scams, and system-wide disruption, and proposes a defense mechanism called LLM Tagging to mitigate its spread."
"TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems","https://scispace.com/paper/tamas-benchmarking-adversarial-risks-in-multi-agent-llm-u5i0m93hw0mt","2025","Journal Article","","Kumaraguru, Ponnurangam
Ganu, Tanuja","10.48550/arxiv.2511.05269","https://export.arxiv.org/pdf/2511.05269v1.pdf","Large Language Models (LLMs) have demonstrated strong capabilities as autonomous agents through tool use, planning, and decision-making abilities, leading to their widespread adoption across diverse tasks. As task complexity grows, multi-agent LLM systems are increasingly used to solve problems collaboratively. However, safety and security of these systems remains largely under-explored. Existing benchmarks and datasets predominantly focus on single-agent settings, failing to capture the unique vulnerabilities of multi-agent dynamics and co-ordination. To address this gap, we introduce $\textbf{T}$hreats and $\textbf{A}$ttacks in $\textbf{M}$ulti-$\textbf{A}$gent $\textbf{S}$ystems ($\textbf{TAMAS}$), a benchmark designed to evaluate the robustness and safety of multi-agent LLM systems. TAMAS includes five distinct scenarios comprising 300 adversarial instances across six attack types and 211 tools, along with 100 harmless tasks. We assess system performance across ten backbone LLMs and three agent interaction configurations from Autogen and CrewAI frameworks, highlighting critical challenges and failure modes in current multi-agent deployments. Furthermore, we introduce Effective Robustness Score (ERS) to assess the tradeoff between safety and task effectiveness of these frameworks. Our findings show that multi-agent systems are highly vulnerable to adversarial attacks, underscoring the urgent need for stronger defenses. TAMAS provides a foundation for systematically studying and improving the safety of multi-agent LLM systems. ","This study introduces TAMAS, a benchmark evaluating the robustness and safety of multi-agent Large Language Models (LLMs) against adversarial attacks, revealing high vulnerability and highlighting the need for stronger defenses in collaborative LLM systems."
"BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability","https://scispace.com/paper/blocka2a-towards-secure-and-verifiable-agent-to-agent-r9epzrr6eeei","2025","Journal Article","arXiv.org","Zhenhua Zou
Zhuotao Liu
Lepeng Zhao
Qiuyang Zhan","10.48550/arxiv.2508.01332","https://scispace.compdf/blocka2a-towards-secure-and-verifiable-agent-to-agent-r9epzrr6eeei.pdf","The rapid adoption of agentic AI, powered by large language models (LLMs), is transforming enterprise ecosystems with autonomous agents that execute complex workflows. Yet we observe several key security vulnerabilities in LLM-driven multi-agent systems (MASes): fragmented identity frameworks, insecure communication channels, and inadequate defenses against Byzantine agents or adversarial prompts. In this paper, we present the first systematic analysis of these emerging multi-agent risks and explain why the legacy security strategies cannot effectively address these risks. Afterwards, we propose BlockA2A, the first unified multi-agent trust framework that enables secure and verifiable and agent-to-agent interoperability. At a high level, BlockA2A adopts decentralized identifiers (DIDs) to enable fine-grained cross-domain agent authentication, blockchain-anchored ledgers to enable immutable auditability, and smart contracts to dynamically enforce context-aware access control policies. BlockA2A eliminates centralized trust bottlenecks, ensures message authenticity and execution integrity, and guarantees accountability across agent interactions. Furthermore, we propose a Defense Orchestration Engine (DOE) that actively neutralizes attacks through real-time mechanisms, including Byzantine agent flagging, reactive execution halting, and instant permission revocation. Empirical evaluations demonstrate BlockA2A's effectiveness in neutralizing prompt-based, communication-based, behavioral and systemic MAS attacks. We formalize its integration into existing MAS and showcase a practical implementation for Google's A2A protocol. Experiments confirm that BlockA2A and DOE operate with sub-second overhead, enabling scalable deployment in production LLM-based MAS environments.","This paper presents BlockA2A, a unified multi-agent trust framework ensuring secure and verifiable agent-to-agent interoperability through decentralized identifiers, blockchain-anchored ledgers, and smart contracts, effectively neutralizing emerging multi-agent risks in LLM-driven MASes."
"Secure Multi-LLM Agentic AI and Agentification for Edge General Intelligence by Zero-Trust: A Survey","https://scispace.com/paper/secure-multi-llm-agentic-ai-and-agentification-for-edge-mubct3zmi5kr","2025","Journal Article","arXiv.org","Yinqiu Liu
Ruichen Zhang
Haoxiang Luo
Yijing Lin
Geng Sun
Dusit Niyato
Hongyang Du
Zehui Xiong
Yonggang Wen
Abbas Jamalipour
Dong In Kim
Ping Zhang","10.48550/arxiv.2508.19870","https://scispace.compdf/secure-multi-llm-agentic-ai-and-agentification-for-edge-mubct3zmi5kr.pdf","Agentification serves as a critical enabler of Edge General Intelligence (EGI), transforming massive edge devices into cognitive agents through integrating Large Language Models (LLMs) and perception, reasoning, and acting modules. These agents collaborate across heterogeneous edge infrastructures, forming multi-LLM agentic AI systems that leverage collective intelligence and specialized capabilities to tackle complex, multi-step tasks. However, the collaborative nature of multi-LLM systems introduces critical security vulnerabilities, including insecure inter-LLM communications, expanded attack surfaces, and cross-domain data leakage that traditional perimeter-based security cannot adequately address. To this end, this survey introduces zero-trust security of multi-LLM in EGI, a paradigmatic shift following the ``never trust, always verify''principle. We begin by systematically analyzing the security risks in multi-LLM systems within EGI contexts. Subsequently, we present the vision of a zero-trust multi-LLM framework in EGI. We then survey key technical progress to facilitate zero-trust multi-LLM systems in EGI. Particularly, we categorize zero-trust security mechanisms into model- and system-level approaches. The former and latter include strong identification, context-aware access control, etc., and proactive maintenance, blockchain-based management, etc., respectively. Finally, we identify critical research directions. This survey serves as the first systematic treatment of zero-trust applied to multi-LLM systems, providing both theoretical foundations and practical strategies.","This survey introduces zero-trust security for multi-LLM agentic AI systems in Edge General Intelligence, analyzing security risks, presenting a zero-trust framework, and categorizing technical progress into model- and system-level approaches for secure collaboration."
"Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems","https://scispace.com/paper/shadows-in-the-code-exploring-the-risks-and-defenses-of-llm-xqj48w51ol2k","2025","Journal Article","arXiv.org","Xiaoqing Wang
Keman Huang
Bin Liang
Hongyu Li
Xiaoyong Du","10.48550/arxiv.2511.18467","https://export.arxiv.org/pdf/2511.18467v1.pdf","The rapid advancement of Large Language Model (LLM)-driven multi-agent systems has significantly streamlined software developing tasks, enabling users with little technical expertise to develop executable applications. While these systems democratize software creation through natural language requirements, they introduce significant security risks that remain largely unexplored. We identify two risky scenarios: Malicious User with Benign Agents (MU-BA) and Benign User with Malicious Agents (BU-MA). We introduce the Implicit Malicious Behavior Injection Attack (IMBIA), demonstrating how multi-agent systems can be manipulated to generate software with concealed malicious capabilities beneath seemingly benign applications, and propose Adv-IMBIA as a defense mechanism. Evaluations across ChatDev, MetaGPT, and AgentVerse frameworks reveal varying vulnerability patterns, with IMBIA achieving attack success rates of 93%, 45%, and 71% in MU-BA scenarios, and 71%, 84%, and 45% in BU-MA scenarios. Our defense mechanism reduced attack success rates significantly, particularly in the MU-BA scenario. Further analysis reveals that compromised agents in the coding and testing phases pose significantly greater security risks, while also identifying critical agents that require protection against malicious user exploitation. Our findings highlight the urgent need for robust security measures in multi-agent software development systems and provide practical guidelines for implementing targeted, resource-efficient defensive strategies.","This study explores security risks in LLM-driven multi-agent software development systems, identifying two attack scenarios and a defense mechanism, and evaluates their effectiveness across three frameworks, revealing varying vulnerability patterns and significant security risks in compromised agents."
"Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents","https://scispace.com/paper/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a","2024","Journal Article","arXiv.org","Hanrong Zhang
Jingyuan Huang
Kai Mei
Yifei Yao
Zhenting Wang
Chenlu Zhan
Hongwei Wang
Yongfeng Zhang","10.48550/arxiv.2410.02644","https://scispace.compdf/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a.pdf","Although LLM-based agents, powered by Large Language Models (LLMs), can use external tools and memory mechanisms to solve complex real-world tasks, they may also introduce critical security vulnerabilities. However, the existing literature does not comprehensively evaluate attacks and defenses against LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a comprehensive framework designed to formalize, benchmark, and evaluate the attacks and defenses of LLM-based agents, including 10 scenarios (e.g., e-commerce, autonomous driving, finance), 10 agents targeting the scenarios, over 400 tools, 23 different types of attack/defense methods, and 8 evaluation metrics. Based on ASB, we benchmark 10 prompt injection attacks, a memory poisoning attack, a novel Plan-of-Thought backdoor attack, a mixed attack, and 10 corresponding defenses across 13 LLM backbones with nearly 90,000 testing cases in total. Our benchmark results reveal critical vulnerabilities in different stages of agent operation, including system prompt, user prompt handling, tool usage, and memory retrieval, with the highest average attack success rate of 84.30\%, but limited effectiveness shown in current defenses, unveiling important works to be done in terms of agent security for the community. Our code can be found at https://github.com/agiresearch/ASB.","This study introduces Agent Security Bench (ASB), a comprehensive framework to formalize, benchmark, and evaluate attacks and defenses in LLM-based agents, revealing critical vulnerabilities and limited effectiveness of current defenses across 13 LLM backbones."
"BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks","https://scispace.com/paper/blindguard-safeguarding-llm-based-multi-agent-systems-under-s9509j2lmtso","2025","Journal Article","arXiv.org","Rui Miao
Yixin Liu
Yili Wang
Xu Shen
Yue Tan
Yiwei Dai
Shirui Pan
Xin Wang","10.48550/arxiv.2508.08127","https://scispace.compdf/blindguard-safeguarding-llm-based-multi-agent-systems-under-s9509j2lmtso.pdf","The security of LLM-based multi-agent systems (MAS) is critically threatened by propagation vulnerability, where malicious agents can distort collective decision-making through inter-agent message interactions. While existing supervised defense methods demonstrate promising performance, they may be impractical in real-world scenarios due to their heavy reliance on labeled malicious agents to train a supervised malicious detection model. To enable practical and generalizable MAS defenses, in this paper, we propose BlindGuard, an unsupervised defense method that learns without requiring any attack-specific labels or prior knowledge of malicious behaviors. To this end, we establish a hierarchical agent encoder to capture individual, neighborhood, and global interaction patterns of each agent, providing a comprehensive understanding for malicious agent detection. Meanwhile, we design a corruption-guided detector that consists of directional noise injection and contrastive learning, allowing effective detection model training solely on normal agent behaviors. Extensive experiments show that BlindGuard effectively detects diverse attack types (i.e., prompt injection, memory poisoning, and tool attack) across MAS with various communication patterns while maintaining superior generalizability compared to supervised baselines. The code is available at: https://github.com/MR9812/BlindGuard.","BlindGuard proposes an unsupervised defense method for LLM-based multi-agent systems, detecting unknown attacks through hierarchical agent encoding and corruption-guided detection, outperforming supervised baselines in diverse attack scenarios and communication patterns."
