"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Memory Poisoning Attack and Defense on Memory Based LLM-Agents","https://scispace.com/paper/memory-poisoning-attack-and-defense-on-memory-based-llm-cnxqvfbtnfhg","2026","Journal Article","","B. Ratna Sunil
Isheeta Sinha
Piyush Maheshwari
Shantanu Todmal
Shreyan Malik
S. M. Mishra","10.48550/arxiv.2601.05504","","Large language model agents equipped with persistent memory are vulnerable to memory poisoning attacks, where adversaries inject malicious instructions through query only interactions that corrupt the agents long term memory and influence future responses. Recent work demonstrated that the MINJA (Memory Injection Attack) achieves over 95 % injection success rate and 70 % attack success rate under idealized conditions. However, the robustness of these attacks in realistic deployments and effective defensive mechanisms remain understudied. This work addresses these gaps through systematic empirical evaluation of memory poisoning attacks and defenses in Electronic Health Record (EHR) agents. We investigate attack robustness by varying three critical dimensions: initial memory state, number of indication prompts, and retrieval parameters. Our experiments on GPT-4o-mini, Gemini-2.0-Flash and Llama-3.1-8B-Instruct models using MIMIC-III clinical data reveal that realistic conditions with pre-existing legitimate memories dramatically reduce attack effectiveness. We then propose and evaluate two novel defense mechanisms: (1) Input/Output Moderation using composite trust scoring across multiple orthogonal signals, and (2) Memory Sanitization with trust-aware retrieval employing temporal decay and pattern-based filtering. Our defense evaluation reveals that effective memory sanitization requires careful trust threshold calibration to prevent both overly conservative rejection (blocking all entries) and insufficient filtering (missing subtle attacks), establishing important baselines for future adaptive defense mechanisms. These findings provide crucial insights for securing memory-augmented LLM agents in production environments. ","This study investigates memory poisoning attacks on large language model agents and proposes two novel defense mechanisms, input/output moderation and memory sanitization, to mitigate attacks in realistic Electronic Health Record (EHR) agent deployments."
"Benchmarking Poisoning Attacks against Retrieval-Augmented Generation","https://scispace.com/paper/benchmarking-poisoning-attacks-against-retrieval-augmented-92v10qb8xour","2025","Journal Article","","Bo Zhang
Hongbo Xin
Jiatong Li
Dongzhe Zhang
Minghong Fang
Zhuqing Liu
L. S. Nie
Zheli Liu","10.48550/arxiv.2505.18543","","Retrieval-Augmented Generation (RAG) has proven effective in mitigating hallucinations in large language models by incorporating external knowledge during inference. However, this integration introduces new security vulnerabilities, particularly to poisoning attacks. Although prior work has explored various poisoning strategies, a thorough assessment of their practical threat to RAG systems remains missing. To address this gap, we propose the first comprehensive benchmark framework for evaluating poisoning attacks on RAG. Our benchmark covers 5 standard question answering (QA) datasets and 10 expanded variants, along with 13 poisoning attack methods and 7 defense mechanisms, representing a broad spectrum of existing techniques. Using this benchmark, we conduct a comprehensive evaluation of all included attacks and defenses across the full dataset spectrum. Our findings show that while existing attacks perform well on standard QA datasets, their effectiveness drops significantly on the expanded versions. Moreover, our results demonstrate that various advanced RAG architectures, such as sequential, branching, conditional, and loop RAG, as well as multi-turn conversational RAG, multimodal RAG systems, and RAG-based LLM agent systems, remain susceptible to poisoning attacks. Notably, current defense techniques fail to provide robust protection, underscoring the pressing need for more resilient and generalizable defense strategies. ","This study proposes a comprehensive benchmark framework to evaluate poisoning attacks on Retrieval-Augmented Generation (RAG) systems, revealing vulnerabilities in various RAG architectures and highlighting the need for more robust defense strategies against poisoning attacks."
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms","https://scispace.com/paper/prompt-injection-attacks-in-large-language-models-and-ai-dsv4ibw3x43q","2025","Repository","","Said Gulyamov
Andrey Rodionov
Rustam Khursanov
Kambariddin Mekhmonov
Djakhongir Babaev
Akmaljon Rakhimjonov","10.20944/preprints202511.0088.v1","","Large Language Models (LLMs) have rapidly transformed artificial intelligence applica-tions across industries, yet their integration into production systems has unveiled critical security vulnerabilities, chief among them prompt injection attacks. This comprehensive review synthesizes research from 2023-2025, analyzing over 120 peer-reviewed papers, industry security reports, and documented real-world exploits. We examine the taxonomy of prompt injection techniques, including direct jailbreaking and indirect injection through external content. The rise of AI agent systems and the Model Context Protocol (MCP) has dramatically expanded attack surfaces, introducing vulnerabilities such as tool poisoning and credential theft. We document critical incidents including GitHub Copilot&amp;#039;s CVE-2025-53773 remote code execution vulnerability (CVSS 9.6) and ChatGPT&amp;#039;s Windows license key exposure. Research demonstrates that just five carefully crafted documents can manipulate AI responses 90% of the time through Retrieval-Augmented Generation (RAG) poisoning. This review provides actionable mitigation strategies based on OWASP Top 10 for LLM Applications 2025, identifies fundamental limitations including the stochastic nature problem and alignment paradox, and proposes research directions for architectur-ally secure AI systems. Our analysis reveals that prompt injection represents a funda-mental architectural vulnerability requiring defense-in-depth approaches rather than singular solutions. ",""
"Traceback of Poisoning Attacks to Retrieval-Augmented Generation","https://scispace.com/paper/traceback-of-poisoning-attacks-to-retrieval-augmented-ur900m4x8bzu","2025","Journal Article","","Zhang Bao-lei
Xin Hao-ran
Fang, Minghong
Liu ZhuQing
Yi, Biao
Li Tong
Liu Zhe-li","10.48550/arxiv.2504.21668","","Large language models (LLMs) integrated with retrieval-augmented generation (RAG) systems improve accuracy by leveraging external knowledge sources. However, recent research has revealed RAG's susceptibility to poisoning attacks, where the attacker injects poisoned texts into the knowledge database, leading to attacker-desired responses. Existing defenses, which predominantly focus on inference-time mitigation, have proven insufficient against sophisticated attacks. In this paper, we introduce RAGForensics, the first traceback system for RAG, designed to identify poisoned texts within the knowledge database that are responsible for the attacks. RAGForensics operates iteratively, first retrieving a subset of texts from the database and then utilizing a specially crafted prompt to guide an LLM in detecting potential poisoning texts. Empirical evaluations across multiple datasets demonstrate the effectiveness of RAGForensics against state-of-the-art poisoning attacks. This work pioneers the traceback of poisoned texts in RAG systems, providing a practical and promising defense mechanism to enhance their security. Our code is available at: https://github.com/zhangbl6618/RAG-Responsibility-Attribution ",""
"AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases","https://scispace.com/paper/agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-6c2tdgde00ja","2024","Journal Article","arXiv.org","Zhaorun Chen
Zhen Xiang
Chaowei Xiao
Dawn Song
Bo Li","10.48550/arxiv.2407.12784","https://scispace.compdf/agentpoison-red-teaming-llm-agents-via-poisoning-memory-or-6c2tdgde00ja.pdf","LLM agents have demonstrated remarkable performance across various applications, primarily due to their advanced capabilities in reasoning, utilizing external knowledge and tools, calling APIs, and executing actions to interact with environments. Current agents typically utilize a memory module or a retrieval-augmented generation (RAG) mechanism, retrieving past knowledge and instances with similar embeddings from knowledge bases to inform task planning and execution. However, the reliance on unverified knowledge bases raises significant concerns about their safety and trustworthiness. To uncover such vulnerabilities, we propose a novel red teaming approach AgentPoison, the first backdoor attack targeting generic and RAG-based LLM agents by poisoning their long-term memory or RAG knowledge base. In particular, we form the trigger generation process as a constrained optimization to optimize backdoor triggers by mapping the triggered instances to a unique embedding space, so as to ensure that whenever a user instruction contains the optimized backdoor trigger, the malicious demonstrations are retrieved from the poisoned memory or knowledge base with high probability. In the meantime, benign instructions without the trigger will still maintain normal performance. Unlike conventional backdoor attacks, AgentPoison requires no additional model training or fine-tuning, and the optimized backdoor trigger exhibits superior transferability, in-context coherence, and stealthiness. Extensive experiments demonstrate AgentPoison's effectiveness in attacking three types of real-world LLM agents: RAG-based autonomous driving agent, knowledge-intensive QA agent, and healthcare EHRAgent. On each agent, AgentPoison achieves an average attack success rate higher than 80% with minimal impact on benign performance (less than 1%) with a poison rate less than 0.1%.","AgentPoison proposes a novel backdoor attack targeting LLM agents by poisoning their memory or knowledge base, achieving an average attack success rate of over 80% with minimal impact on benign performance, through a constrained optimization process."
"Bias Injection Attacks on RAG Databases and Sanitization Defenses","https://scispace.com/paper/bias-injection-attacks-on-rag-databases-and-sanitization-nyyhki2bgf01","2025","Journal Article","arXiv.org","Hao Wu
Prateek Saxena","10.48550/arxiv.2512.00804","https://export.arxiv.org/pdf/2512.00804v1.pdf","This paper explores attacks and defenses on vector databases in retrieval-augmented generation (RAG) systems. Prior work on knowledge poisoning attacks primarily inject false or toxic content, which fact-checking or linguistic analysis easily detects. We reveal a new and subtle threat: bias injection attacks, which insert factually correct yet semantically biased passages into the knowledge base to covertly influence the ideological framing of answers generated by large language models (LLMs). We demonstrate that these adversarial passages, though linguistically coherent and truthful, can systematically crowd out opposing views from the retrieved context and steer LLM answers toward the attacker's intended perspective. We precisely characterize this class of attacks and then develop a post-retrieval filtering defense, BiasDef. We construct a comprehensive benchmark based on public question answering datasets to evaluate them. Our results show that: (1) the proposed attack induces significant perspective shifts in LLM answers, effectively evading existing retrieval-based sanitization defenses; and (2) BiasDef outperforms existing methods by reducing adversarial passages retrieved by 15\% which mitigates perspective shift by 6.2\times in answers, while enabling the retrieval of 62\% more benign passages.","This paper introduces bias injection attacks on retrieval-augmented generation (RAG) databases, inserting factually correct yet semantically biased passages to influence LLM answers, and proposes a post-retrieval filtering defense, BiasDef, to mitigate these attacks."
"POISONCRAFT: Practical Poisoning of Retrieval-Augmented Generation for Large Language Models","https://scispace.com/paper/poisoncraft-practical-poisoning-of-retrieval-augmented-uipmceuzdoq2","2025","Journal Article","","Shao YangGuang
Lin Xinjie
Luo, Haozheng
Xiong Gang
Yu, Jiahao
Shi Jun-zheng","10.48550/arxiv.2505.06579","","Large language models (LLMs) have achieved remarkable success in various domains, primarily due to their strong capabilities in reasoning and generating human-like text. Despite their impressive performance, LLMs are susceptible to hallucinations, which can lead to incorrect or misleading outputs. This is primarily due to the lack of up-to-date knowledge or domain-specific information. Retrieval-augmented generation (RAG) is a promising approach to mitigate hallucinations by leveraging external knowledge sources. However, the security of RAG systems has not been thoroughly studied. In this paper, we study a poisoning attack on RAG systems named POISONCRAFT, which can mislead the model to refer to fraudulent websites. Compared to existing poisoning attacks on RAG systems, our attack is more practical as it does not require access to the target user query's info or edit the user query. It not only ensures that injected texts can be retrieved by the model, but also ensures that the LLM will be misled to refer to the injected texts in its response. We demonstrate the effectiveness of POISONCRAFTacross different datasets, retrievers, and language models in RAG pipelines, and show that it remains effective when transferred across retrievers, including black-box systems. Moreover, we present a case study revealing how the attack influences both the retrieval behavior and the step-by-step reasoning trace within the generation model, and further evaluate the robustness of POISONCRAFTunder multiple defense mechanisms. These results validate the practicality of our threat model and highlight a critical security risk for RAG systems deployed in real-world applications. We release our code\footnote{https://github.com/AndyShaw01/PoisonCraft} to support future research on the security and robustness of RAG systems in real-world settings. ",""
"Secure Retrieval-Augmented Generation against Poisoning Attacks","https://scispace.com/paper/secure-retrieval-augmented-generation-against-poisoning-jmx5s3l19tp5","2025","Journal Article","","Cheng Zirui
Sun Jikai
Liu ZhuQing
Hu XiaoHua
Fang, Minghong","10.48550/arxiv.2510.25025","","Large language models (LLMs) have transformed natural language processing (NLP), enabling applications from content generation to decision support. Retrieval-Augmented Generation (RAG) improves LLMs by incorporating external knowledge but also introduces security risks, particularly from data poisoning, where the attacker injects poisoned texts into the knowledge database to manipulate system outputs. While various defenses have been proposed, they often struggle against advanced attacks. To address this, we introduce RAGuard, a detection framework designed to identify poisoned texts. RAGuard first expands the retrieval scope to increase the proportion of clean texts, reducing the likelihood of retrieving poisoned content. It then applies chunk-wise perplexity filtering to detect abnormal variations and text similarity filtering to flag highly similar texts. This non-parametric approach enhances RAG security, and experiments on large-scale datasets demonstrate its effectiveness in detecting and mitigating poisoning attacks, including strong adaptive attacks. ",""
"Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents","https://scispace.com/paper/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a","2024","Journal Article","arXiv.org","Hanrong Zhang
Jingyuan Huang
Kai Mei
Yifei Yao
Zhenting Wang
Chenlu Zhan
Hongwei Wang
Yongfeng Zhang","10.48550/arxiv.2410.02644","https://scispace.compdf/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a.pdf","Although LLM-based agents, powered by Large Language Models (LLMs), can use external tools and memory mechanisms to solve complex real-world tasks, they may also introduce critical security vulnerabilities. However, the existing literature does not comprehensively evaluate attacks and defenses against LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a comprehensive framework designed to formalize, benchmark, and evaluate the attacks and defenses of LLM-based agents, including 10 scenarios (e.g., e-commerce, autonomous driving, finance), 10 agents targeting the scenarios, over 400 tools, 23 different types of attack/defense methods, and 8 evaluation metrics. Based on ASB, we benchmark 10 prompt injection attacks, a memory poisoning attack, a novel Plan-of-Thought backdoor attack, a mixed attack, and 10 corresponding defenses across 13 LLM backbones with nearly 90,000 testing cases in total. Our benchmark results reveal critical vulnerabilities in different stages of agent operation, including system prompt, user prompt handling, tool usage, and memory retrieval, with the highest average attack success rate of 84.30\%, but limited effectiveness shown in current defenses, unveiling important works to be done in terms of agent security for the community. Our code can be found at https://github.com/agiresearch/ASB.","This study introduces Agent Security Bench (ASB), a comprehensive framework to formalize, benchmark, and evaluate attacks and defenses in LLM-based agents, revealing critical vulnerabilities and limited effectiveness of current defenses across 13 LLM backbones."
"Towards More Robust Retrieval-Augmented Generation: Evaluating RAG Under
  Adversarial Poisoning Attacks","https://scispace.com/paper/towards-more-robust-retrieval-augmented-generation-2iumnx5thuy0","2024","Journal Article","","Jinyan Su
Jin Zhou
Zhengxin Zhang
Preslav Nakov
Claire Cardie","10.48550/arxiv.2412.16708","https://scispace.compdf/towards-more-robust-retrieval-augmented-generation-2iumnx5thuy0.pdf","Retrieval-Augmented Generation (RAG) systems have emerged as a promising solution to mitigate LLM hallucinations and enhance their performance in knowledge-intensive domains. However, these systems are vulnerable to adversarial poisoning attacks, where malicious passages injected into retrieval databases can mislead the model into generating factually incorrect outputs. In this paper, we investigate both the retrieval and the generation components of RAG systems to understand how to enhance their robustness against such attacks. From the retrieval perspective, we analyze why and how the adversarial contexts are retrieved and assess how the quality of the retrieved passages impacts downstream generation. From a generation perspective, we evaluate whether LLMs' advanced critical thinking and internal knowledge capabilities can be leveraged to mitigate the impact of adversarial contexts, i.e., using skeptical prompting as a self-defense mechanism. Our experiments and findings provide actionable insights into designing safer and more resilient retrieval-augmented frameworks, paving the way for their reliable deployment in real-world applications. ","This study evaluates the robustness of Retrieval-Augmented Generation (RAG) systems against adversarial poisoning attacks, analyzing both retrieval and generation components to enhance their resilience and provide actionable insights for safer deployment in real-world applications."
